no;title;year;genre;origin;director;star;imdb_link;image_url
83;Dangal;2016;Drama;India;Nitesh Tiwari;Aamir Khan;https://www.imdb.com/title/tt5074352;https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_FMjpg_UX1000_.jpg
84;Taare Zameen Par;2007;Drama;India;Aamir Khan;Aamir Khan;https://www.imdb.com/title/tt0986264;https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
85;Lawrence of Arabia;1962;Biography;UK;David Lean;Peter O'Toole;https://www.imdb.com/title/tt0056172;https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_FMjpg_UX1000_.jpg
86;Eternal Sunshine of the Spotless Mind;2004;Romance;USA;Michel Gondry;Jim Carrey;https://www.imdb.com/title/tt0338013;https://m.media-amazon.com/images/M/MV5BNjIxMTEzOTUtYWJhYS00MDQwLThmNmItYzkyN2MzZGVkZmM1XkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
87;A Clockwork Orange;1971;Drama;USA;Stanley Kubrick;Malcolm McDowell;https://www.imdb.com/title/tt0066921;https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_FMjpg_UX1000_.jpg
88;3 Idiots;2009;Drama;India;Rajkumar Hirani;Aamir Khan;https://www.imdb.com/title/tt1187043;https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
89;2001: A Space Odyssey;1968;Adventure;USA;Stanley Kubrick;Keir Dullea;https://www.imdb.com/title/tt0062622;https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
90;Le fabuleux destin d'Am�lie Poulain;2001;Comedy;France;Jean-Pierre Jeunet;Audrey Tautou;https://www.imdb.com/title/tt0211915;https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg
91;Toy Story;1995;Comedy;USA;John Lasseter;Tom Hanks;https://www.imdb.com/title/tt0114709;https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_FMjpg_UX1000_.jpg
92;Double Indemnity;1944;Drama;USA;Billy Wilder;Fred MacMurray;https://www.imdb.com/title/tt0036775;https://m.media-amazon.com/images/M/MV5BOTdlNjgyZGUtOTczYi00MDdhLTljZmMtYTEwZmRiOWFkYjRhXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_FMjpg_UX1000_.jpg
93;Taxi Driver;1976;Drama;USA;Martin Scorsese;Robert De Niro;https://www.imdb.com/title/tt0075314;https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
94;Singin' in the Rain;1952;Comedy;USA;Stanley Donen;Gene Kelly;https://www.imdb.com/title/tt0045152;https://m.media-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_FMjpg_UX1000_.jpg
95;Inglourious Basterds;2009;War;USA;Quentin Tarantino;Brad Pitt;https://www.imdb.com/title/tt0361748;https://m.media-amazon.com/images/M/MV5BZTlkNTNhNGUtNzg5Mi00YzMwLTlmNTMtMTk1Zjk2ZDZmZGViXkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
96;Full Metal Jacket;1987;Drama;USA;Stanley Kubrick;Matthew Modine;https://www.imdb.com/title/tt0093058;https://m.media-amazon.com/images/M/MV5BNzkxODk0NjEtYjc4Mi00ZDI0LTgyYjEtYzc1NDkxY2YzYTgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
97;To Kill a Mockingbird;1962;Drama;USA;Robert Mulligan;Gregory Peck;https://www.imdb.com/title/tt0056592;https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
98;Ladri di biciclette;1948;Drama;Italy;Vittorio De Sica;Lamberto Maggiorani;https://www.imdb.com/title/tt0040522;https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
99;The Kid;1921;Drama;USA;Charles Chaplin;Charles Chaplin;https://www.imdb.com/title/tt0012349;https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
100;The Sting;1973;Drama;USA;George Roy Hill;Paul Newman;https://www.imdb.com/title/tt0070735;https://m.media-amazon.com/images/M/MV5BNGU3NjQ4YTMtZGJjOS00YTQ3LThmNmItMTI5MDE2ODI3NzY3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
101;Good Will Hunting;1997;Romance;USA;Gus Van Sant;Robin Williams;https://www.imdb.com/title/tt0119217;https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
102;Toy Story 3;2010;Comedy;USA;Lee Unkrich;Tom Hanks;https://www.imdb.com/title/tt0435761;https://m.media-amazon.com/images/M/MV5BNDZiYTJlMjUtNDgxZS00ZmRjLWFmNWYtZmQ1ODllNGZlNmU5XkEyXkFqcGdeQXVyOTgxMDMxNTc@._V1_FMjpg_UX1000_.jpg
103;Jagten;2012;Drama;Sweden;Thomas Vinterberg;Mads Mikkelsen;https://www.imdb.com/title/tt2106476;https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_FMjpg_UX1000_.jpg
104;Snatch;2000;Comedy;USA;Guy Ritchie;Jason Statham;https://www.imdb.com/title/tt0208092;https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg
105;Scarface;1983;Drama;USA;Brian De Palma;Al Pacino;https://www.imdb.com/title/tt0086250;https://m.media-amazon.com/images/M/MV5BZDVmY2M3MGEtYjY2Yi00YTYwLWE4YmMtZjkwMzlkMjY2MWIwXkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
106;Monty Python and the Holy Grail;1975;Comedy;UK;Terry Gilliam;Graham Chapman;https://www.imdb.com/title/tt0071853;https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
107;Per qualche dollaro in pi�;1965;Western;West Germany;Sergio Leone;Clint Eastwood;https://www.imdb.com/title/tt0059578;https://m.media-amazon.com/images/M/MV5BNmM5M2I0NGMtMzhhMi00NmRiLWE1NTYtOTI4MWVkYjBlZGU3XkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
108;L.A. Confidential;1997;Drama;USA;Curtis Hanson;Kevin Spacey;https://www.imdb.com/title/tt0119488;https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
109;The Apartment;1960;Romance;USA;Billy Wilder;Jack Lemmon;https://www.imdb.com/title/tt0053604;https://m.media-amazon.com/images/M/MV5BNzkwODFjNzItMmMwNi00MTU5LWE2MzktM2M4ZDczZGM1MmViXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_FMjpg_UX1000_.jpg
110;Metropolis;1927;Drama;Germany;Fritz Lang;Brigitte Helm;https://www.imdb.com/title/tt0017136;https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
111;Jodaeiye Nader az Simin;2011;Drama;Iran;Asghar Farhadi;Payman Maadi;https://www.imdb.com/title/tt1832382;https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
112;Indiana Jones and the Last Crusade;1989;Adventure;USA;Steven Spielberg;Harrison Ford;https://www.imdb.com/title/tt0097576;https://m.media-amazon.com/images/M/MV5BY2Q0ODg4ZmItNDZiYi00ZWY5LTg2NzctNmYwZjA5OThmNzE1XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_FMjpg_UX1000_.jpg
113;Rash�mon;1950;Drama;Japan;Akira Kurosawa;Toshir� Mifune;https://www.imdb.com/title/tt0042876;https://m.media-amazon.com/images/M/MV5BMTk1MDU5MjQ5NF5BMl5BanBnXkFtZTgwMDM2OTE4MzE@._V1_FMjpg_UX1000_.jpg
114;Up;2009;Adventure;USA;Pete Docter;Edward Asner;https://www.imdb.com/title/tt1049413;https://m.media-amazon.com/images/M/MV5BY2JiNDliN2ItODY3OS00ZGJmLWI1NjEtMGVhNmRjZGI1MWZjXkEyXkFqcGdeQXVyOTgxMDMxNTc@._V1_FMjpg_UX1000_.jpg
115;All About Eve;1950;Drama;USA;Joseph L. Mankiewicz;Bette Davis;https://www.imdb.com/title/tt0042192;https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_FMjpg_UX1000_.jpg
116;Batman Begins;2005;Adventure;USA;Christopher Nolan;Christian Bale;https://www.imdb.com/title/tt0372784;https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
117;Y�jinb�;1961;Drama;Japan;Akira Kurosawa;Toshir� Mifune;https://www.imdb.com/title/tt0055630;https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
118;Some Like It Hot;1959;Comedy;USA;Billy Wilder;Marilyn Monroe;https://www.imdb.com/title/tt0053291;https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
119;Unforgiven;1992;Western;USA;Clint Eastwood;Clint Eastwood;https://www.imdb.com/title/tt0105695;https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
120;Der Untergang;2004;Drama;Italy;Oliver Hirschbiegel;Bruno Ganz;https://www.imdb.com/title/tt0363163;https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_FMjpg_UX1000_.jpg
121;Die Hard;1988;Action;USA;John McTiernan;Bruce Willis;https://www.imdb.com/title/tt0095016;https://m.media-amazon.com/images/M/MV5BZjRlNDUxZjAtOGQ4OC00OTNlLTgxNmQtYTBmMDgwZmNmNjkxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
122;The Treasure of the Sierra Madre;1948;Western;USA;John Huston;Humphrey Bogart;https://www.imdb.com/title/tt0040897;https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_FMjpg_UX1000_.jpg
123;Heat;1995;Drama;USA;Michael Mann;Al Pacino;https://www.imdb.com/title/tt0113277;https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
124;Ikiru;1952;Drama;Japan;Akira Kurosawa;Takashi Shimura;https://www.imdb.com/title/tt0044741;https://m.media-amazon.com/images/M/MV5BZmM0NGY3Y2MtMTA1YS00YmQzLTk2YTctYWFhMDkzMDRjZWQzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
125;Incendies;2010;Drama;Canada;Denis Villeneuve;Lubna Azabal;https://www.imdb.com/title/tt1255953;https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
126;Raging Bull;1980;Drama;USA;Martin Scorsese;Robert De Niro;https://www.imdb.com/title/tt0081398;https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_FMjpg_UX1000_.jpg
127;The Great Escape;1963;Thriller;USA;John Sturges;Steve McQueen;https://www.imdb.com/title/tt0057115;https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_FMjpg_UX1000_.jpg
128;Bacheha-Ye aseman;1997;Drama;Iran;Majid Majidi;Mohammad Amir Naji;https://www.imdb.com/title/tt0118849;https://m.media-amazon.com/images/M/MV5BZTYwZWQ4ZTQtZWU0MS00N2YwLWEzMDItZWFkZWY0MWVjODVhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
129;El laberinto del fauno;2006;Drama;Mexico;Guillermo del Toro;Ivana Baquero;https://www.imdb.com/title/tt0457430;https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYTNlZGZiYWI1YjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
130;Babam ve Oglum;2005;Drama;Turkey;�agan Irmak;�etin Tekindor;https://www.imdb.com/title/tt0476735;https://m.media-amazon.com/images/M/MV5BNzEzMWYyYjEtNmVjZS00YTAyLWIyOTgtMzEzNzQxMTQzZTgwXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_FMjpg_UX1000_.jpg
131;Chinatown;1974;Drama;USA;Roman Polanski;Jack Nicholson;https://www.imdb.com/title/tt0071315;https://m.media-amazon.com/images/M/MV5BMjJkMDZhYzItZTFhMi00ZGI4LThlNTAtZDNlYmEwNjFkNDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
132;The Third Man;1949;Thriller;UK;Carol Reed;Orson Welles;https://www.imdb.com/title/tt0041959;https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
133;Bohemian Rhapsody;2018;Drama;USA;Bryan Singer;Rami Malek;https://www.imdb.com/title/tt1727824;https://m.media-amazon.com/images/M/MV5BMTA2NDc3Njg5NDVeQTJeQWpwZ15BbWU4MDc1NDcxNTUz._V1_FMjpg_UX1000_.jpg
134;Tonari no Totoro;1988;Fantasy;Japan;Hayao Miyazaki;Hitoshi Takagi;https://www.imdb.com/title/tt0096283;https://m.media-amazon.com/images/M/MV5BYzJjMTYyMjQtZDI0My00ZjE2LTkyNGYtOTllNGQxNDMyZjE0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
135;Hauru no ugoku shiro;2004;Adventure;Japan;Hayao Miyazaki;Chieko Baish�;https://www.imdb.com/title/tt0347149;https://m.media-amazon.com/images/M/MV5BNmM4YTFmMmItMGE3Yy00MmRkLTlmZGEtMzZlOTQzYjk3MzA2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
136;Ran;1985;Drama;Japan;Akira Kurosawa;Tatsuya Nakadai;https://www.imdb.com/title/tt0089881;https://m.media-amazon.com/images/M/MV5BNTFlMjIwMzEtNWJlMy00ODU1LWFiMWMtM2JmOGFmMzhjZTBkXkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
137;Judgment at Nuremberg;1961;Drama;USA;Stanley Kramer;Spencer Tracy;https://www.imdb.com/title/tt0055031;https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_FMjpg_UX1000_.jpg
138;El secreto de sus ojos;2009;Thriller;Argentina;Juan Jos� Campanella;Ricardo Dar�n;https://www.imdb.com/title/tt1305806;https://m.media-amazon.com/images/M/MV5BY2FhZGI5M2QtZWFiZS00NjkwLWE4NWQtMzg3ZDZjNjdkYTJiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
139;The Gold Rush;1925;Drama;USA;Charles Chaplin;Charles Chaplin;https://www.imdb.com/title/tt0015864;https://m.media-amazon.com/images/M/MV5BODI0NTFkMTItOTYyNC00MzQ4LTgzZWMtMzdhMDAyOWU5YjA5XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_FMjpg_UX1000_.jpg
140;The Bridge on the River Kwai;1957;War;USA;David Lean;William Holden;https://www.imdb.com/title/tt0050212;https://m.media-amazon.com/images/M/MV5BOGY5NmNlMmQtYzRlYy00NGQ5LWFkYjYtNzExZmQyMTg0ZDA0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_FMjpg_UX1000_.jpg
141;A Beautiful Mind;2001;Drama;USA;Ron Howard;Russell Crowe;https://www.imdb.com/title/tt0268978;https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
142;Lock, Stock and Two Smoking Barrels;1998;Comedy;UK;Guy Ritchie;Jason Flemyng;https://www.imdb.com/title/tt0120735;https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg
143;Casino;1995;Drama;France;Martin Scorsese;Robert De Niro;https://www.imdb.com/title/tt0112641;https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
144;Three Billboards Outside Ebbing, Missouri;2017;Drama;USA;Martin McDonagh;Frances McDormand;https://www.imdb.com/title/tt5027774;https://m.media-amazon.com/images/M/MV5BY2RiNTMzMmMtMDlkYi00YWVlLTllNTEtZDY5YTFhZmU3MTgzXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_FMjpg_UX1000_.jpg
145;On the Waterfront;1954;Drama;USA;Elia Kazan;Marlon Brando;https://www.imdb.com/title/tt0047296;https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
146;Det sjunde inseglet;1957;Drama;Sweden;Ingmar Bergman;Max von Sydow;https://www.imdb.com/title/tt0050976;https://m.media-amazon.com/images/M/MV5BOWM3MmE0OGYtOGVlNC00OWE1LTk5ZTAtYmUwMDIwM2ZlNWJiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
147;Inside Out;2015;Comedy;USA;Pete Docter;Amy Poehler;https://www.imdb.com/title/tt2096673;https://m.media-amazon.com/images/M/MV5BZDRmZTc0YmEtMmI0My00M2EyLTg4M2ItMGIxNDM1NzM3MmVhXkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
148;The Elephant Man;1980;Drama;USA;David Lynch;Anthony Hopkins;https://www.imdb.com/title/tt0080678;https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
149;Room;2015;Drama;Canada;Lenny Abrahamson;Brie Larson;https://www.imdb.com/title/tt3170832;https://m.media-amazon.com/images/M/MV5BMmVkZDBkNWQtZGE0Mi00N2JlLWFmYTgtZTJhNDNkZjA2YWQ1XkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
150;The Wolf of Wall Street;2013;Drama;USA;Martin Scorsese;Leonardo DiCaprio;https://www.imdb.com/title/tt0993846;https://m.media-amazon.com/images/M/MV5BODdiNjU5OGItYWM2NS00N2M5LWFlMDYtNGI3YWI2NjNiMzViXkEyXkFqcGdeQXVyOTgxMDMxNTc@._V1_FMjpg_UX1000_.jpg
151;Mr. Smith Goes to Washington;1939;Drama;USA;Frank Capra;James Stewart;https://www.imdb.com/title/tt0031679;https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_FMjpg_UX1000_.jpg
152;V for Vendetta;2005;Drama;Germany;James McTeigue;Hugo Weaving;https://www.imdb.com/title/tt0434409;https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_FMjpg_UX1000_.jpg
153;Warrior;2011;Drama;USA;Gavin O'Connor;Andrew Koji;https://www.imdb.com/title/tt1291584;https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_FMjpg_UX1000_.jpg
154;Blade Runner;1982;Thriller;Hong Kong;Ridley Scott;Harrison Ford;https://www.imdb.com/title/tt0083658;https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
155;Dial M for Murder;1954;Thriller;USA;Alfred Hitchcock;Ray Milland;https://www.imdb.com/title/tt0046912;https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
156;Smultronst�llet;1957;Romance;Sweden;Ingmar Bergman;Victor Sj�str�m;https://www.imdb.com/title/tt0050986;https://m.media-amazon.com/images/M/MV5BYWQxYzdhMDMtNjAyZC00NzE0LWFjYmQtYjk0YzMyYjA5NzZkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
157;The General;1926;Comedy;USA;Clyde Bruckman;Buster Keaton;https://www.imdb.com/title/tt0017925;https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
158;No Country for Old Men;2007;Drama;USA;Ethan Coen;Tommy Lee Jones;https://www.imdb.com/title/tt0477348;https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_FMjpg_UX1000_.jpg
159;Trainspotting;1996;Drama;UK;Danny Boyle;Ewan McGregor;https://www.imdb.com/title/tt0117951;https://m.media-amazon.com/images/M/MV5BMzA5Zjc3ZTMtMmU5YS00YTMwLWI4MWUtYTU0YTVmNjVmODZhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
160;There Will Be Blood;2007;Drama;USA;Paul Thomas Anderson;Daniel Day-Lewis;https://www.imdb.com/title/tt0469494;https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_FMjpg_UX1000_.jpg
161;The Sixth Sense;1999;Drama;USA;M. Night Shyamalan;Bruce Willis;https://www.imdb.com/title/tt0167404;https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_FMjpg_UX1000_.jpg
162;Gone with the Wind;1939;War;USA;Victor Fleming;Clark Gable;https://www.imdb.com/title/tt0031381;https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
163;The Thing;1982;Horror;USA;John Carpenter;Kurt Russell;https://www.imdb.com/title/tt0084787;https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg
164;Fargo;1996;Drama;USA;Joel Coen;William H. Macy;https://www.imdb.com/title/tt0116282;https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
165;Gran Torino;2008;Drama;USA;Clint Eastwood;Clint Eastwood;https://www.imdb.com/title/tt1205489;https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_FMjpg_UX1000_.jpg
